userId,movieId,rating
32,1,4.5
32,110,5.0
32,260,5.0
32,356,5.0
32,480,4.0
32,593,4.0
32,953,3.5
32,1270,5.0
32,1704,4.5
32,2571,5.0
32,3578,4.5
32,4993,5.0
32,50872,4.0
32,68954,4.0
32,112552,4.5
635,743,3.0
635,2366,4.0
1060,2,4.0
1060,168,4.0
1060,208,4.0
1060,225,4.0
1060,260,3.0
1060,303,4.0
1060,316,4.0
1060,329,4.0
1060,380,5.0
1060,480,4.0
1060,590,3.0
1060,592,4.0
1060,609,2.0
1060,648,5.0
1060,653,4.0
1060,733,4.0
1060,848,2.0
1060,897,3.0
1060,919,3.0
1060,952,4.0
1060,969,2.0
1060,1015,2.0
1060,1049,4.0
1060,1193,1.0
1060,1196,3.0
1060,1197,1.0
1060,1198,5.0
1060,1210,3.0
1060,1262,3.0
1060,1287,3.0
1060,1303,2.0
1060,1356,4.0
1060,1373,4.0
1060,1374,4.0
1060,1376,5.0
1060,1544,4.0
1060,1552,3.0
1060,1580,4.0
1060,1615,4.0
1060,1917,4.0
1060,2115,5.0
1060,2116,3.0
1060,2133,5.0
1060,2193,4.0
1060,2399,3.0
1060,2406,5.0
1060,2421,4.0
1060,2470,5.0
1060,2617,5.0
1060,2641,4.0
1060,2716,5.0
1060,2916,4.0
1060,2918,4.0
1060,2987,2.0
1060,3198,1.0
1060,3269,4.0
1060,3461,2.0
1060,3489,2.0
1060,3494,3.0
1221,10,4.0
1221,150,5.0
1221,153,4.0
1221,165,5.0
1221,231,3.0
1221,253,5.0
1221,292,5.0
1221,296,5.0
1221,316,4.0
1221,329,4.0
1221,339,5.0
1221,344,3.0
1221,349,4.0
1221,380,5.0
1221,434,5.0
1221,588,5.0
1221,590,5.0
1221,592,4.0
1221,593,4.0
1221,595,5.0
1305,1,3.5
1305,145,3.0
1305,480,3.5
1305,899,3.0
1305,1036,3.5
1305,1136,4.0
1305,1220,3.5
1305,1240,3.0
1305,1270,5.0
1305,1580,3.0
1305,1682,3.0
1305,2011,3.0
1305,2012,1.0
1305,2571,4.0
1305,2572,4.5
1305,2716,3.0
1305,3967,3.5
1305,4027,4.0
1305,4306,3.5
1305,4993,3.5
1305,5952,3.5
1305,5991,4.0
1305,6218,3.0
1305,6874,4.0
1305,6942,3.5
1305,7153,3.5
1305,8874,4.0
1305,31658,3.0
1305,45720,3.0
1305,46578,4.0
1305,46972,1.5
1305,51255,5.0
1305,51662,3.0
1305,56367,3.5
1305,59315,3.0
1305,71518,3.0
1305,72998,1.0
1305,79132,3.0
1305,79702,3.5
1305,81845,3.5
1305,84772,1.0
1305,87234,3.5
1305,89745,3.0
1305,95167,3.5
1305,96821,3.0
1305,97913,3.5
1305,102903,3.5
1305,104211,2.0
1305,104374,3.5
1305,108932,1.5
1305,109374,4.0
1305,111362,3.0
1305,112552,3.0
1305,112556,3.5
1305,112852,3.5
1305,115617,4.0
1305,115713,4.0
1305,116797,5.0
1305,117176,4.0
1305,118696,2.0
1305,122882,4.0
1305,122886,4.0
1305,122904,5.0
1305,127202,3.5
1305,134853,3.5
1681,1,3.0
1681,2,1.0
1681,10,3.0
1681,29,3.0
1681,32,3.0
1681,39,2.0
1681,50,3.0
1681,52,3.0
1681,58,3.0
1681,112,3.0
1681,150,2.0
1681,153,1.0
1681,162,4.0
1681,165,3.0
1681,223,2.0
1681,224,2.0
1681,231,3.0
1681,232,3.0
1681,235,4.0
1681,247,3.0
1681,265,3.0
1681,277,1.0
1681,296,1.0
1681,316,3.0
1681,318,2.0
1681,329,2.0
1681,337,3.0
1681,339,1.0
1681,344,3.0
1681,348,4.0
1681,349,1.0
1681,353,1.0
1681,356,4.0
1681,362,4.0
1681,364,3.0
1681,367,1.0
1681,370,2.0
1681,377,2.0
1681,380,3.0
1681,410,4.0
1681,440,2.0
1681,457,4.0
1681,466,1.0
1681,471,3.0
1681,480,3.0
1681,497,4.0
1681,527,3.0
1681,529,3.0
1681,531,1.0
1681,539,2.0
1681,551,3.0
1681,553,1.0
1681,587,2.0
1681,588,3.0
1681,589,4.0
1681,590,2.0
1681,592,3.0
1681,594,3.0
1681,595,4.0
1681,596,3.0
1681,597,2.0
1681,610,3.0
1681,616,3.0
1681,663,3.0
1681,671,3.0
1681,708,1.0
1681,745,3.0
1681,780,2.0
1681,1073,4.0
2989,110,4.0
2989,180,4.0
2989,356,4.5
2989,372,4.0
2989,413,2.5
2989,608,4.0
2989,858,4.5
2989,923,4.0
2989,1206,3.0
2989,1213,4.0
2989,1214,4.0
2989,1221,4.0
2989,1247,3.5
2989,1269,3.5
2989,1304,4.0
2989,1409,2.0
2989,1562,3.0
2989,1704,4.5
2989,2085,4.0
2989,2231,4.0
2989,2288,4.0
2989,2694,3.0
2989,2722,3.0
2989,2858,4.0
2989,2959,4.5
2989,3424,2.0
2989,3489,4.0
2989,3683,3.5
2989,3798,4.0
2989,3863,2.0
2989,3916,4.5
2989,48516,4.5
2989,58559,4.5
2989,64614,4.0
2993,273,3.5
2993,481,3.0
2993,905,4.5
2993,952,3.0
2993,1019,3.5
2993,1371,3.5
2993,1373,3.5
2993,1375,4.5
2993,1388,4.0
2993,1909,4.0
2993,2382,3.0
2993,2383,3.0
2993,2644,2.0
2993,4007,3.5
2993,49272,4.0
3006,6,4.5
3006,32,4.5
3006,110,4.0
3006,175,5.0
3006,296,5.0
3006,318,5.0
3006,337,4.5
3006,356,4.5
3006,858,5.0
3006,904,4.5
3006,912,4.0
3006,1111,5.0
3006,1193,5.0
3006,1199,4.0
3006,1220,5.0
3006,1246,4.5
3006,1305,4.5
3006,1653,3.5
3006,1717,3.0
3006,1732,4.5
3006,1884,4.5
3006,2642,2.5
3006,2716,4.5
3006,2959,5.0
3006,3744,3.5
3006,4084,3.5
3006,4161,4.0
3006,4262,5.0
3006,4878,4.5
3006,4941,4.5
3006,5137,4.5
3006,5418,4.5
3006,5669,4.0
3006,5989,4.5
3006,6953,4.0
3006,8784,4.5
3006,8950,4.5
3006,26152,4.0
3006,27773,4.5
3006,27821,4.5
3006,32587,3.5
3006,33794,5.0
3006,34437,4.0
3006,53123,4.0
3006,55820,4.0
3006,58559,5.0
3006,79132,4.5
3022,1,5.0
3022,5,5.0
3022,6,4.0
3022,32,3.0
3022,79,4.0
3022,95,3.0
3022,104,3.0
3022,112,3.0
3022,135,3.0
3022,494,4.0
3022,637,3.0
3022,648,3.0
3022,653,4.0
3022,719,4.0
3022,724,3.0
3022,733,4.0
3022,736,5.0
3022,762,3.0
3022,780,2.0
3022,786,4.0
3022,1073,5.0
3704,260,4.0
3704,296,2.0
3704,318,5.0
3704,589,4.0
3704,593,5.0
3704,594,4.0
3704,912,1.0
3704,920,5.0
3704,1032,5.0
3704,1196,5.0
3704,1198,4.0
3704,1210,5.0
3704,1240,3.5
3704,1258,0.5
3704,1282,5.0
